num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2026S000001;01/01/2026;3:00:00;CALL. GOYA, 46;46;4;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;442386,41;4475140,23;N;
2026S000001;01/01/2026;3:00:00;CALL. GOYA, 46;46;4;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;442386,41;4475140,23;N;
2026S000001;01/01/2026;3:00:00;CALL. GOYA, 46;46;4;SALAMANCA;Colisión lateral;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;;;442386,41;4475140,23;N;
2026S000002;01/01/2026;3:00:00;CALL. ALAR DEL REY / PASEO. ZURRON;5;21;BARAJAS;Colisión fronto-lateral;Despejado;;Conductor;Desconocido;Desconocido;;;450564,66;4480043,99;N;
2026S000002;01/01/2026;3:00:00;CALL. ALAR DEL REY / PASEO. ZURRON;5;21;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;450564,66;4480043,99;N;
2026S000003;01/01/2026;2:50:00;CALL. ARQUITECTO SANCHEZ ARCAS, 11;11;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;;Turismo;Conductor;De 25 a 29 años;Hombre;;;439431,59;4478446,31;N;
2026S000003;01/01/2026;2:50:00;CALL. ARQUITECTO SANCHEZ ARCAS, 11;11;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;439431,59;4478446,31;N;
2026S000003;01/01/2026;2:50:00;CALL. ARQUITECTO SANCHEZ ARCAS, 11;11;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;;Turismo;Pasajero;De 21 a 24 años;Mujer;;;439431,59;4478446,31;N;
2026S000004;01/01/2026;3:45:00;CALL. LOS YEBENES / CALL. CAMARENA;38;10;LATINA;Alcance;Despejado;Todo terreno;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;436026,79;4471966,58;N;
2026S000004;01/01/2026;3:45:00;CALL. LOS YEBENES / CALL. CAMARENA;38;10;LATINA;Alcance;Despejado;Todo terreno;Pasajero;De 45 a 49 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;436026,79;4471966,58;N;
2026S000004;01/01/2026;3:45:00;CALL. LOS YEBENES / CALL. CAMARENA;38;10;LATINA;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;436026,79;4471966,58;S;
2026S000014;01/01/2026;6:33:00;PLAZA. EMPERADOR CARLOS V, 10;10;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;441236,88;4473349,41;N;
2026S000015;01/01/2026;6:30:00;PLAZA. LICEO / CALL. SILVANO;1;16;HORTALEZA;Solo salida de la vía;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;445404,78;4478759,90;S;
2026S000016;01/01/2026;6:40:00;M-30 CALZADA INTERIOR CARRIL INCORPORACIÓN A-1;32RH50;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;443008,48;4481609,57;S;
2026S000017;01/01/2026;6:30:00;CALL. HACIENDA DE PAVONES / CALL. FUENTE CARRANTONA;340;14;MORATALAZ;Atropello a persona;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;446020,41;4472435,89;N;
2026S000017;01/01/2026;6:30:00;CALL. HACIENDA DE PAVONES / CALL. FUENTE CARRANTONA;340;14;MORATALAZ;Atropello a persona;Despejado;Turismo;Peatón;De 21 a 24 años;Hombre;3;Ingreso superior a 24 horas;446020,41;4472435,89;N;
2026S000017;01/01/2026;6:30:00;CALL. HACIENDA DE PAVONES / CALL. FUENTE CARRANTONA;340;14;MORATALAZ;Atropello a persona;Despejado;Turismo;Peatón;De 21 a 24 años;Mujer;2;Ingreso inferior o igual a 24 horas;446020,41;4472435,89;N;
2026S000018;01/01/2026;7:15:00;CALL. VELAZQUEZ / CALL. PADILLA;76;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;442006,06;4475887,31;S;
2026S000018;01/01/2026;7:15:00;CALL. VELAZQUEZ / CALL. PADILLA;76;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;442006,06;4475887,31;N;
2026S000018;01/01/2026;7:15:00;CALL. VELAZQUEZ / CALL. PADILLA;76;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 25 a 29 años;Hombre;;;442006,06;4475887,31;N;
2026S000018;01/01/2026;7:15:00;CALL. VELAZQUEZ / CALL. PADILLA;76;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;;;442006,06;4475887,31;N;
