num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S000056;01/01/2025;0:49:00;CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO;140;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Ciclomotor;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442966;4477385;N;
2025S000056;01/01/2025;0:49:00;CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO;140;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;442966;4477385;N;
2025S000056;01/01/2025;0:49:00;CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO;140;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;442966;4477385;N;
2025S000057;01/01/2025;2:20:00;GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO;1;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;;;433911;4478290;N;
2025S000057;01/01/2025;2:20:00;GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO;1;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;;;433911;4478290;N;
2025S000058;01/01/2025;3:18:00;CALL. GALLUR, 489;489;10;LATINA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;437019;4471984;S;
2025S000060;01/01/2025;4:00:00;CALL. LUCHANA / CALL. EGUILAZ;16;7;CHAMBERÍ;Colisión lateral;Despejado;Maquinaria de obras;Conductor;De 55 a 59 años;Hombre;;;440567;4475699;N;
2025S000060;01/01/2025;4:00:00;CALL. LUCHANA / CALL. EGUILAZ;16;7;CHAMBERÍ;Colisión lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;440567;4475699;N;
2025S000061;01/01/2025;3:30:00;AVDA. PABLO IGLESIAS, 50;50;6;TETUÁN;Colisión fronto-lateral;;Turismo;Conductor;De 50 a 54 años;Hombre;;;439772;4477959;N;
2025S000061;01/01/2025;3:30:00;AVDA. PABLO IGLESIAS, 50;50;6;TETUÁN;Colisión fronto-lateral;;Turismo;Conductor;Desconocido;Desconocido;;;439772;4477959;N;
2025S000063;01/01/2025;6:58:00;CALL. PRINCESA, 28;28;1;CENTRO;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;439427;4475473;S;
2025S000063;01/01/2025;6:58:00;CALL. PRINCESA, 28;28;1;CENTRO;Alcance;Despejado;Motocicleta hasta 125cc;Pasajero;De 35 a 39 años;Mujer;;;439427;4475473;N;
2025S000063;01/01/2025;6:58:00;CALL. PRINCESA, 28;28;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;439427;4475473;N;
2025S000064;01/01/2025;7:10:00;PASEO. ARTILLEROS / CALL. CALAHORRA;6;19;VICÁLVARO;Choque contra obstáculo fijo;;Turismo;Conductor;De 30 a 34 años;Mujer;;;448291;4473199;S;
2025S000064;01/01/2025;7:10:00;PASEO. ARTILLEROS / CALL. CALAHORRA;6;19;VICÁLVARO;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;448291;4473199;N;
2025S000064;01/01/2025;7:10:00;PASEO. ARTILLEROS / CALL. CALAHORRA;6;19;VICÁLVARO;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;448291;4473199;N;
2025S000065;01/01/2025;7:30:00;CALL. CAMINO DE LOS VINATEROS / CALL. CORREGIDOR DIEGO DE VALDERRABANO;5;14;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;;;444161;4473548;N;
2025S000065;01/01/2025;7:30:00;CALL. CAMINO DE LOS VINATEROS / CALL. CORREGIDOR DIEGO DE VALDERRABANO;5;14;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;;;444161;4473548;N;
2025S000069;01/01/2025;7:50:00;CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA;4;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;443545;4472565;N;
2025S000069;01/01/2025;7:50:00;CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA;4;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443545;4472565;N;
2025S000069;01/01/2025;7:50:00;CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA;4;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443545;4472565;N;
2025S000069;01/01/2025;7:50:00;CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA;4;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443545;4472565;N;
2025S000069;01/01/2025;7:50:00;CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA;4;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443545;4472565;N;
2025S000070;01/01/2025;8:05:00;AVDA. ALBUFERA / CALL. CANTALAPIEDRA;140;13;PUENTE DE VALLECAS;Alcance;Despejado;Furgoneta;Conductor;De 55 a 59 años;Mujer;;;444319;4471444;N;
2025S000070;01/01/2025;8:05:00;AVDA. ALBUFERA / CALL. CANTALAPIEDRA;140;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;444319;4471444;N;
2025S000072;01/01/2025;7:30:00;CALL. EMBALSE DE NAVACERRADA, 35;35;18;VILLA DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;;;449221;4467966;N;
2025S000072;01/01/2025;7:30:00;CALL. EMBALSE DE NAVACERRADA, 35;35;18;VILLA DE VALLECAS;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;449221;4467966;N;
2025S000072;01/01/2025;7:30:00;CALL. EMBALSE DE NAVACERRADA, 35;35;18;VILLA DE VALLECAS;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;449221;4467966;N;
2025S000074;01/01/2025;10:00:00;CALL. MATEO INURRIA, 13;13;5;CHAMARTÍN;Otro;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;;;441824;4479788;N;
2025S000076;01/01/2025;8:00:00;CALL. MISTERIOS, 8;8;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;445740;4476666;S;
2025S000076;01/01/2025;8:00:00;CALL. MISTERIOS, 8;8;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;445740;4476666;N;
2025S000076;01/01/2025;8:00:00;CALL. MISTERIOS, 8;8;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;445740;4476666;N;
2025S000079;01/01/2025;9:20:00;CALL. LUIS MARTINEZ FEDUCHI, 66;66;16;HORTALEZA;Choque contra obstáculo fijo;;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;445608;4483449;N;
2025S000081;01/01/2025;12:00:00;CALL. JUSTA GARCIA, 3;3;12;USERA;Colisión lateral;;Turismo;Conductor;Desconocido;Desconocido;;;439770;4470485;;
2025S000081;01/01/2025;12:00:00;CALL. JUSTA GARCIA, 3;3;12;USERA;Colisión lateral;;Turismo;Conductor;Desconocido;Desconocido;;;439770;4470485;N;
2025S000082;01/01/2025;12:30:00;AVDA. NICETO ALCALA ZAMORA / CALL. JULIO CASARES;3;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;445225;4482368;N;
2025S000082;01/01/2025;12:30:00;AVDA. NICETO ALCALA ZAMORA / CALL. JULIO CASARES;3;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;445225;4482368;N;
2025S000085;01/01/2025;14:40:00;CALL. SANTUARIO / CALL. CRISTO DE LEPANTO;64;12;USERA;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Mujer;3;Ingreso superior a 24 horas;440626;4470360;N;
2025S000085;01/01/2025;14:40:00;CALL. SANTUARIO / CALL. CRISTO DE LEPANTO;64;12;USERA;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;440626;4470360;N;
2025S000085;01/01/2025;14:40:00;CALL. SANTUARIO / CALL. CRISTO DE LEPANTO;64;12;USERA;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;440626;4470360;N;
2025S000085;01/01/2025;14:40:00;CALL. SANTUARIO / CALL. CRISTO DE LEPANTO;64;12;USERA;Alcance;Despejado;Turismo;Pasajero;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440626;4470360;N;
2025S000086;01/01/2025;14:50:00;PLAZA. ALSACIA, 1;1;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;447046;4474268;N;1
2025S000087;01/01/2025;15:00:00;GTA. OSWALDO PAYA SARDIÑAS / CALL. LAS PEDROÑERAS;0;16;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 18 a 20 años;Hombre;;;446111;4479587;N;
2025S000087;01/01/2025;15:00:00;GTA. OSWALDO PAYA SARDIÑAS / CALL. LAS PEDROÑERAS;0;16;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;446111;4479587;N;
2025S000087;01/01/2025;15:00:00;GTA. OSWALDO PAYA SARDIÑAS / CALL. LAS PEDROÑERAS;0;16;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 10 a 14 años;Mujer;;;446111;4479587;N;
2025S000087;01/01/2025;15:00:00;GTA. OSWALDO PAYA SARDIÑAS / CALL. LAS PEDROÑERAS;0;16;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 50 a 54 años;Hombre;;;446111;4479587;N;
2025S000088;01/01/2025;17:10:00;CALL. OCA / CALL. GENERAL RICARDOS;2;11;CARABANCHEL;Otro;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437920;4471163;N;
2025S000088;01/01/2025;17:10:00;CALL. OCA / CALL. GENERAL RICARDOS;2;11;CARABANCHEL;Otro;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;437920;4471163;N;
2025S000089;01/01/2025;17:15:00;CALL. DOCTOR CASTELO, 49;49;3;RETIRO;Colisión lateral;;Turismo;Conductor;De 40 a 44 años;Mujer;;;443056;4474604;N;
2025S000089;01/01/2025;17:15:00;CALL. DOCTOR CASTELO, 49;49;3;RETIRO;Colisión lateral;;Turismo;Conductor;De 45 a 49 años;Mujer;;;443056;4474604;N;
2025S000095;01/01/2025;19:50:00;CALL. ISABELITA USERA, 26;26;12;USERA;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;439909;4470633;N;
2025S000095;01/01/2025;19:50:00;CALL. ISABELITA USERA, 26;26;12;USERA;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;439909;4470633;N;
2025S000097;01/01/2025;19:45:00;CALL. GENEROSIDAD / CALL. VILLAFUERTE;22;17;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441441;4467570;N;
2025S000099;01/01/2025;18:52:00;CALL. CARDENAL SILICEO, 21;21;5;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443148;4477296;N;
2025S000099;01/01/2025;18:52:00;CALL. CARDENAL SILICEO, 21;21;5;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443148;4477296;N;
2025S000100;01/01/2025;14:30:00;CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA;69;15;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;445215;4475591;N;
